# 1行につき1つの注文です。
# 書き方: 注文名 | 材料 分量,材料 分量,材料 分量 | 上の色,下の色 | グラス | 提供方法
# グラス: タンブラー, ロックグラス, カクテルグラス, ワイングラス, ホットグラス
# 提供方法: シェイク, ステア
# PDF「カクテルレシピ202605.pdf」から、材料と分量が読み取れるものを転記しています。
# 行頭に # を付けると、その行は使われません。

サイドカー | ブランディ 30ml,コアントロ 15ml,レモンジュース 15ml | #f4c27a,#bd6f3c | カクテルグラス | シェイク
アップルカー | カルバドス 30ml,コアントロ 15ml,レモンジュース 15ml | #f3d27d,#c97745 | カクテルグラス | シェイク
ホワイトレディ | ジン 30ml,コアントロ 15ml,レモンジュース 15ml | #f7ead0,#d9b466 | カクテルグラス | シェイク
XYZ | ラム 30ml,コアントロ 15ml,レモンジュース 15ml | #ead09c,#b17645 | カクテルグラス | シェイク
バラライカ | ウォッカ 30ml,コアントロ 15ml,レモンジュース 15ml | #f4ead6,#c2a673 | カクテルグラス | シェイク
キングスバレイ | スコッチ 40ml,コアントロ 10ml,ライムジュース 10ml,ブルーキュラソー 少量 | #d4b878,#4d8eca | カクテルグラス | シェイク
雪国 | ウォッカ 30ml,コアントロ 15ml,ライムジュース 15ml,シロップ 少量,ミントチェリー 1個 | #f5f4e8,#cfd9e8 | カクテルグラス | シェイク
マルガリータ | テキーラ 30ml,コアントロ 15ml,ライムジュース 15ml,シロップ 少量,塩 グラスの淵 | #f7e8b8,#d7a84d | カクテルグラス | シェイク
ジャックローズ | カルバドス 30ml,グレナデンシロップ 15ml,ライムジュース 15ml | #f4a18e,#b7464d | カクテルグラス | シェイク
ダイキリ | ラム 45ml,ライムジュース 15ml,シロップ 少量 | #f0e7bc,#d0a85a | カクテルグラス | シェイク
ジンライム | タンカレー 30ml,シロップ 少量,ライムジュース 10ml,ライム 1片 | #e7f0bd,#87b05b | ロックグラス | ステア
アマレットミルク | アマレット 30ml,ミルク 適量 | #ead7bd,#b88957 | ロックグラス | ステア
ヘーゼルナッツミルク | ヘーゼルナッツリキュール 30ml,ミルク 適量 | #e7d0aa,#8f5b35 | ロックグラス | ステア
抹茶ミルク | 抹茶リキュール 30ml,ミルク 適量,抹茶パウダー 振りかけ | #c9d98b,#5d8b52 | ロックグラス | ステア
ティフィンミルク | ティーリキュール 30ml,ミルク 適量,シナモン 振りかけ | #e0c08a,#7b5136 | ロックグラス | ステア
カウボーイ | ジャックハニー 30ml,ミルク 適量 | #edcf8f,#b77839 | ロックグラス | ステア
シャンボールミルク | シャンボール 30ml,ミルク 適量 | #df93b2,#9e3d67 | ロックグラス | ステア
ライチミルク | ライチリキュール 30ml,ブルーキュラソー 10ml,ミルク 80ml,生クリーム 15ml | #dcebf6,#7dbbd2 | タンブラー | シェイク
ミントミルク | ミントリキュール 20ml,モーツアルト 10ml,ミルク 適量,ココアパウダー 振りかけ | #c9f0d1,#4fb987 | ロックグラス | ステア
ホットバタードラムカウ | キャプテンモルガン 30ml,バター 5g,シナモン 振りかけ,角砂糖 1個,ミルク 適量 | #d7a56d,#8a4d2f | ホットグラス | ステア
